Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
17.05,-8.14672,0.65604,0,,,,,31904.12229,-154.0273989
17.1,-8.13812,0.67633,0,,,,,32890.85273,-153.8648015
17.15,-8.12938,0.67145,0.00001,,,,,32653.53166,-153.6995572
17.2,-8.12156,0.67856,0.00001,,,,,32999.30068,-153.5517069
17.25,-8.11344,0.66064,0,,,,,32127.82658,-153.3981847
17.3,-8.10453,0.67731,0.00002,,,,,32938.51147,-153.2297262
17.35,-8.09625,0.67172,0,,,,,32666.66213,-153.073179
17.4,-8.08844,0.68115,0,,,,,33125.25592,-152.9255178
17.45,-8.08016,0.68757,0.00001,,,,,33437.4693,-152.7689705
17.5,-8.07125,0.66801,0,,,,,32486.23975,-152.6005121
17.55,-8.06313,0.68035,0.00002,,,,,33086.35083,-152.4469898
17.6,-8.05516,0.68408,0.00001,,,,,33267.74583,-152.2963036
17.65,-8.04656,0.69256,0,,,,,33680.13982,-152.1337062
17.7,-8.03781,0.69779,0.00001,,,,,33934.48188,-151.9682728
17.75,-8.02984,0.70231,0.00001,,,,,34154.29566,-151.8175866
17.8,-8.02172,0.69306,0,,,,,33704.45551,-151.6640644
17.85,-8.01297,0.69635,0,,,,,33864.45271,-151.498631
17.9,-8.00469,0.68503,0.00001,,,,,33313.94563,-151.3420837
17.95,-7.99656,0.71365,0,,,,,34705.77536,-151.1883724
18,-7.98812,0.69488,0.00001,,,,,33792.9646,-151.0288
18.05,-7.97953,0.72592,0.00001,,,,,35302.48224,-150.8663917
18.1,-7.97172,0.7139,0,,,,,34717.93321,-150.7187306
18.15,-7.96344,0.7121,0.00001,,,,,34630.39674,-150.5621833
18.2,-7.95469,0.71941,0.00001,,,,,34985.89204,-150.3967499
18.25,-7.94641,0.71639,0,,,,,34839.02531,-150.2402026
18.3,-7.93844,0.72341,0.00002,,,,,35180.41751,-150.0895164
18.35,-7.92984,0.72102,0,,,,,35064.18854,-149.9269189
18.4,-7.92109,0.72168,0,,,,,35096.28524,-149.7614855
18.45,-7.91328,0.71644,0.00001,,,,,34841.45688,-149.6138244
18.5,-7.90531,0.7353,0,,,,,35758.64447,-149.4631382
18.55,-7.89625,0.73281,0,,,,,35637.55236,-149.2918437
